tunefamily,songid,motifid,begintime,endtime,duration,startindex,endindex,numberofnotes,motifclass,description,annotator,changes
En_er_waren_eens_twee_zoeteliefjes,NLB072585_01,NLB072585_01_02,19,47/2,9/2,30,36,7,"2:bbcdeee","melodic","ann3","length"
En_er_waren_eens_twee_zoeteliefjes,NLB072585_01,NLB072585_01_03,55/2,31,7/2,44,47,4,"3:edb","melodic, harmonic","ann3","start"
Daar_ging_een_heer_1,NLB072587_01,NLB072587_01_00,0,12,12,0,8,9,"1:8884.8884.","rhytmic","ann2","length"
Daar_ging_een_heer_1,NLB072587_01,NLB072587_01_01,12,24,12,9,18,10,"1:8884.8884.","rhytmic","ann1","cons"
Daar_ging_een_heer_1,NLB072587_01,NLB072587_01_02,33,36,3,30,31,2,"3:bag","rhytmic+melodic","ann2","length"
Daar_ging_een_heer_1,NLB072587_01,NLB072587_01_03,39,42,3,36,37,2,"4:ag","rhymic+melodic","ann2","length"
Daar_ging_een_heer_1,NLB072587_02,NLB072587_02_00,0,12,12,0,8,9,"1:8884.8884.","rhytmic","ann2","length"
Daar_ging_een_heer_1,NLB072587_02,NLB072587_02_01,12,24,12,9,18,10,"1:8884.8884.","rhytmic","ann1","cons"
Daar_ging_een_heer_1,NLB072587_02,NLB072587_02_02,33,36,3,29,30,2,"3:bag","rhytmic+melodic","ann2","length"
Daar_ging_een_heer_1,NLB072587_02,NLB072587_02_03,39,41,2,35,36,2,"4:ag","rhymic+melodic","ann2","length"
Het_was_op_een_driekoningenavond_1,NLB072614_01,NLB072614_01_00,5,8,3,9,11,3,"1:aba","melodic","ann3",""
Het_was_op_een_driekoningenavond_1,NLB072614_01,NLB072614_01_01,19,21,2,26,29,4,"2:eedcba","melodic","ann3","length"
Het_was_op_een_driekoningenavond_1,NLB072614_01,NLB072614_01_02,21,24,3,30,32,3,"3:gbd","melodic","ann3",""
O_God_ik_leef_in_nood,NLB072624_01,NLB072624_01_00,0,3/2,3/2,0,1,2,"1:dg ","jump (fourth)","ann2","length"
O_God_ik_leef_in_nood,NLB072624_01,NLB072624_01_01,36,75/2,3/2,45,46,2,"1:dg ","jump (fourth)","ann2","length"
O_God_ik_leef_in_nood,NLB072624_01,NLB072624_01_02,18,23,5,20,25,6,"2:dfisfisfis4","melodic+rhytmic","ann2","length"
O_God_ik_leef_in_nood,NLB072624_01,NLB072624_01_03,54,117/2,9/2,63,68,6,"2:dfisfisfis4","melodic+rhytmic","ann2","pr"
O_God_ik_leef_in_nood,NLB072624_01,NLB072624_01_04,26,55/2,3/2,29,31,3,"3:gfise","melodic","ann2","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_00,16,35/2,3/2,28,29,2,"1:dg","interval up","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_01,41/2,45/2,2,36,37,2,"2:gd","interval down","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_02,1/2,5/2,2,1,4,4,"3:bbbb","repeating notes","ann1",""
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_03,24,51/2,3/2,38,39,2,"1:dg","interval up","ann1","add"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_04,65/2,69/2,2,48,51,4,"3:bbbb","repeating notes","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_05,73/2,79/2,3,56,60,5,"4:ddcba","melodic","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072627_01,NLB072627_01_06,9/2,15/2,3,9,14,6,"4:ddcba","melodic","ann1","length"
Het_was_op_een_driekoningenavond_1,NLB072647_01,NLB072647_01_00,5,8,3,8,10,3,"1:aba","melodic","ann3",""
Het_was_op_een_driekoningenavond_1,NLB072647_01,NLB072647_01_01,19,21,2,25,28,4,"2:eedcba","melodic","ann3","length"
Het_was_op_een_driekoningenavond_1,NLB072647_01,NLB072647_01_02,35,37,2,46,49,4,"2:eedcba","melodic","ann3","length"
Het_was_op_een_driekoningenavond_1,NLB072647_01,NLB072647_01_03,37,40,3,50,52,3,"3:gbd","melodic","ann3",""
Het_was_op_een_driekoningenavond_1,NLB072647_01,NLB072647_01_04,21,24,3,29,31,3,"3:gbd","melodic","ann3",""
Het_was_laatst_op_een_zomerdag,NLB072664_01,NLB072664_01_00,7,13,6,7,12,6,"1:eddedd","rhythmic, repetition","ann1",""
Het_was_laatst_op_een_zomerdag,NLB072664_01,NLB072664_01_01,16,25,9,16,22,7,"2:dedcb","melodic figure","ann1","length"
Het_was_laatst_op_een_zomerdag,NLB072664_01,NLB072664_01_02,25,36,11,23,32,10,"3:defisggaab","melodic:ascending line","ann1","length"
Wat_zag_ik_daar_van_verre_1,NLB072665_01,NLB072665_01_00,1,4,3,2,4,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072665_01,NLB072665_01_01,9,12,3,13,16,4,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072665_01,NLB072665_01_02,5,8,3,7,10,4,"2:afisd","melodic (triad or jump)","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072665_01,NLB072665_01_03,11,15,4,16,19,4,"3:dcba","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072665_01,NLB072665_01_04,17,21,4,22,25,4,"4:cdee","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_00,2,5,3,1,3,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_01,14,17,3,10,12,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_02,6,10,4,6,8,3,"2:afisd","melodic (triad or jump)","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_03,16,20,4,12,15,4,"3:dcba","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_04,22,26,4,19,22,4,"4:cdee","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072688_01,NLB072688_01_05,26,29,3,23,25,3,"5:dbg","melodic (triad or jump)","ann2","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_00,0,3/2,3/2,0,1,2,"1:dg","interval up","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_01,8,19/2,3/2,9,10,2,"1:dg","interval up","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_02,9/2,13/2,2,5,6,2,"2:gd","interval down","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_03,25/2,29/2,2,14,15,2,"2:gd","interval down","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_04,33/2,37/2,2,17,20,4,"3:bbbb","repeating notes","ann1",""
Daar_was_laatstmaal_een_ruiter_2,NLB072690_01,NLB072690_01_05,41/2,24,7/2,23,27,5,"4:ddcba","melodic","ann1","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_00,12,15,3,10,12,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_01,2,5,3,1,3,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_02,6,10,4,6,8,3,"2:afisd","melodic (triad or jump)","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_03,14,18,4,12,15,4,"3:dcba","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_04,20,24,4,19,22,4,"4:cdee","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072691_01,NLB072691_01_05,24,27,3,23,25,3,"5:dbg","melodic (triad or jump)","ann2","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_00,0,2,2,0,1,2,"1:dg","interval up","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_01,17/2,10,3/2,9,10,2,"1:dg","interval up","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_02,5,7,2,7,8,2,"2:gd","interval down","ann1","length"
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_03,13,15,2,17,18,2,"2:gd","interval down","ann1","pr"
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_04,17,19,2,20,23,4,"3:bbbb","repeating notes","ann1",""
Daar_was_laatstmaal_een_ruiter_2,NLB072708_01,NLB072708_01_05,21,49/2,7/2,27,31,5,"4:ddcba","melodic","ann1","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_00,2,5,3,1,3,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_01,14,17,3,10,12,3,"1:ged","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_02,6,10,4,6,8,3,"2:afisd","melodic (triad or jump)","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_03,16,20,4,12,15,4,"3:dcba","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_04,22,26,4,19,22,4,"4:cdee","melodic","ann2","length"
Wat_zag_ik_daar_van_verre_1,NLB072714_01,NLB072714_01_05,26,29,3,23,25,3,"5:dbg","melodic (triad or jump)","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_00,3,6,3,5,10,6,"1:eddedd","rhytmic+repeated notes","ann2",""
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_01,6,21/2,9/2,11,15,5,"2:bbddc","melodic+sequens","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_02,21/2,15,9/2,16,20,5,"2:bbddc","melodic+sequens","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_03,15,18,3,21,24,4,"3:gbdg","melodic","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_04,21,24,3,28,33,6,"4:eeegfise","melodic+rhytmic","ann2","length"
Ik_kwam_laatst_eens_in_de_stad,NLB072721_01,NLB072721_01_05,24,27,3,34,36,3,"5:dcb","melodic","ann2","length"
Het_was_laatst_op_een_zomerdag,NLB072754_01,NLB072754_01_00,3,6,3,6,11,6,"1:eddedd","rhythmic, repetition","ann1",""
Het_was_laatst_op_een_zomerdag,NLB072754_01,NLB072754_01_01,12,35/2,11/2,21,28,8,"3:defisggaab","melodic:ascending line","ann1","length"
Daar_ging_een_heer_1,NLB072774_02,NLB072774_02_00,0,12,12,0,8,9,"1:8884.8884.","rhytmic","ann2","length"
Daar_ging_een_heer_1,NLB072774_02,NLB072774_02_01,12,47/2,23/2,9,16,8,"1:8884.8884.","rhytmic","ann2","add"
Daar_ging_een_heer_1,NLB072774_02,NLB072774_02_02,41,45,4,35,36,2,"4:ag","rhymic+melodic","ann2","length"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_00,2,4,2,2,5,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_01,14,16,2,17,20,4,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_02,24,26,2,29,31,3,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_03,39,41,2,50,52,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_04,26,28,2,32,35,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_05,41,43,2,53,56,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_06,31,34,3,41,44,4,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_07,46,49,3,62,65,4,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_08,34,39,5,45,49,5,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072813_01,NLB072813_01_09,49,54,5,66,70,5,"6:accbag","melodic figure","ann1","pr"
En_er_waren_eens_twee_zoeteliefjes,NLB072823_01,NLB072823_01_00,0,3/2,3/2,0,1,2,"1:dg","jump","ann3",""
En_er_waren_eens_twee_zoeteliefjes,NLB072823_01,NLB072823_01_01,15/2,19/2,2,9,11,3,"1:dg","jump","ann3",""
En_er_waren_eens_twee_zoeteliefjes,NLB072823_01,NLB072823_01_02,37/2,47/2,5,24,30,7,"2:bbcdeee","melodic","ann3","length"
En_er_waren_eens_twee_zoeteliefjes,NLB072823_01,NLB072823_01_03,55/2,61/2,3,38,40,3,"3:edb","melodic, harmonic","ann3",""
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_00,2,4,2,2,5,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_01,14,16,2,16,19,4,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_02,9,11,2,11,12,2,"2:a,d","descending fifth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_03,21,24,3,25,26,2,"2:a,d","descending fifth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_04,24,26,2,27,29,3,"3:ddg","ascending fourth","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_05,39,41,2,47,49,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_06,26,28,2,30,33,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_07,41,43,2,50,53,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_08,31,34,3,39,41,3,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_09,46,49,3,59,61,3,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_10,34,39,5,42,46,5,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072837_01,NLB072837_01_11,49,54,5,62,66,5,"6:accbag","melodic figure","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072851_01,NLB072851_01_00,38,43,5,40,43,4,"6:accbag","melodic figure","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072851_02,NLB072851_02_00,36,41,5,41,44,4,"6:accbag","melodic figure","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_00,1,4,3,1,4,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_01,13,16,3,13,16,4,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_02,9,12,3,10,11,2,"2:a,d","descending fifth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_03,21,24,3,22,23,2,"2:a,d","descending fifth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_04,24,26,2,24,26,3,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_05,39,41,2,43,45,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_06,26,28,2,27,30,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_07,41,43,2,46,49,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_08,31,34,3,34,36,3,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_09,46,49,3,53,55,3,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_10,34,39,5,37,42,6,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072862_01,NLB072862_01_11,49,54,5,56,61,6,"6:accbag","melodic figure","ann1","pr"
Femmes_voulez_vous_eprouver,NLB072871_01,NLB072871_01_00,13,31/2,5/2,18,20,3,"1:bag","melodic","ann1",""
Femmes_voulez_vous_eprouver,NLB072871_01,NLB072871_01_01,19,23,4,26,28,3,"2:fis","highest note in line","ann1","length"
Femmes_voulez_vous_eprouver,NLB072871_01,NLB072871_01_02,27,31,4,36,38,3,"3:gacb","melodic","ann1",""
Femmes_voulez_vous_eprouver,NLB072871_01,NLB072871_01_03,35,40,5,46,48,3,"4:bag","melodic","ann1",""
Het_was_op_een_driekoningenavond_1,NLB072881_01,NLB072881_01_00,5,8,3,8,10,3,"1:aba","melodic","ann3",""
Het_was_op_een_driekoningenavond_1,NLB072881_01,NLB072881_01_01,19,21,2,23,26,4,"2:eedcba","melodic","ann3","length"
Het_was_op_een_driekoningenavond_1,NLB072881_01,NLB072881_01_02,21,24,3,27,29,3,"3:gbd","melodic","ann3",""
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_00,5/2,4,3/2,2,4,3,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_01,29/2,16,3/2,16,18,3,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_02,24,26,2,27,29,3,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_03,39,41,2,47,49,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_04,26,28,2,30,33,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_05,41,43,2,50,53,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_06,31,33,2,38,40,3,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_07,46,48,2,58,60,3,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_08,34,39,5,43,46,4,"6:accbag","melodic figure","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072883_01,NLB072883_01_09,49,54,5,63,66,4,"6:accbag","melodic figure","ann1","pr"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_00,44,47,3,60,62,3,"1:bag","melodic","ann1",""
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_01,5,17/2,7/2,6,8,3,"1:bag","melodic","ann1",""
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_02,15,17,2,21,22,2,"2:dg","interval up","ann1","length"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_03,31,33,2,42,43,2,"2:dg","interval up","ann1","pr"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_04,24,28,4,31,38,8,"3:cbcdefisgc","rhythmic","ann1","length"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_01,NLB072886_01_05,40,44,4,52,59,8,"3:cbcdefisgc","rhythmic","ann1","pr"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_00,47,50,3,59,61,3,"1:bag","melodic","ann1",""
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_01,5,17/2,7/2,6,8,3,"1:bag","melodic","ann1",""
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_02,18,20,2,20,21,2,"2:dg","interval up","ann1","length"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_03,34,36,2,41,42,2,"2:dg","interval up","ann1","pr"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_04,27,31,4,30,37,8,"3:cbcdefisgc","rhythmic","ann1","length"
Daar_zou_er_een_maagdje_vroeg_opstaan_2,NLB072886_02,NLB072886_02_05,43,47,4,51,58,8,"3:cbcdefisgc","rhythmic","ann1","add"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_00,1,4,3,1,4,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_01,13,16,3,13,16,4,"1:b,a,g,fis","melodic descending","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_02,9,12,3,10,11,2,"2:a,d","descending fifth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_03,21,24,3,22,23,2,"2:a,d","descending fifth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_04,24,26,2,24,26,3,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_05,39,41,2,44,46,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_06,26,28,2,27,30,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_07,41,43,2,47,50,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_08,31,34,3,35,37,3,"5:bdb","ascending + descending interval","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_09,46,49,3,55,57,3,"5:bdb","ascending + descending interval","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_10,34,39,5,38,43,6,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072895_01,NLB072895_01_11,49,54,5,58,63,6,"6:accbag","melodic figure","ann1","pr"
Lieve_schipper_vaar_me_over_1,NLB072897_01,NLB072897_01_00,0,5/2,5/2,0,2,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB072897_01,NLB072897_01_01,6,17/2,5/2,8,10,3,"1:gbd","ascending triad, also rhythmic","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB072897_01,NLB072897_01_02,5/2,6,7/2,3,7,5,"2:edccb","descending melodic figure","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB072897_01,NLB072897_01_03,39/4,12,9/4,13,14,2,"3:da","descending interval","ann1","length"
Lieve_schipper_vaar_me_over_1,NLB072897_01,NLB072897_01_04,12,18,6,15,22,8,"5:abcdefisgg","ascending line, melodic","ann1","cons"
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_00,2,5,3,2,5,4,"1:b,a,g,fis","melodic descending","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_01,11,13,2,10,11,2,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_02,26,28,2,28,30,3,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_03,13,15,2,12,15,4,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_04,28,30,2,31,34,4,"4:bbbb","rhythmic repetition of notes","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_05,21,26,5,23,27,5,"6:accbag","melodic figure","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072898_01,NLB072898_01_06,36,41,5,42,46,5,"6:accbag","melodic figure","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072898_02,NLB072898_02_00,9,12,3,11,12,2,"2:a,d","descending fifth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072898_02,NLB072898_02_01,12,14,2,13,14,2,"3:ddg","ascending fourth","ann1","length"
Er_reed_er_eens_een_ruiter_1,NLB072898_02,NLB072898_02_02,27,29,2,30,31,2,"3:ddg","ascending fourth","ann1","pr"
Er_reed_er_eens_een_ruiter_1,NLB072898_02,NLB072898_02_03,14,16,2,15,17,3,"4:bbbb","rhythmic repetition of notes","ann1",""
Er_reed_er_eens_een_ruiter_1,NLB072898_02,NLB072898_02_04,22,27,5,25,29,5,"6:accbag","melodic figure","ann1","length"
Daar_reed_een_jonkheer_1,NLB072912_01,NLB072912_01_00,2,5,3,2,5,4,"1:gfed","melodic line","ann1",""
Daar_reed_een_jonkheer_1,NLB072912_01,NLB072912_01_01,11,14,3,15,18,4,"1:gfed","melodic line","ann1","pr"
Daar_reed_een_jonkheer_1,NLB072912_01,NLB072912_01_02,13/2,17/2,2,8,11,4,"2:aaaa","repeating notes, rhythmic","ann1",""
Daar_reed_een_jonkheer_1,NLB072912_01,NLB072912_01_03,31/2,71/4,9/4,21,24,4,"2:aaaa","repeating notes, rhythmic","ann1","pr"
Daar_reed_een_jonkheer_1,NLB072912_01,NLB072912_01_04,26,29,3,40,43,4,"1:gfed","melodic line","ann1","add"
Daar_reed_een_jonkheer_1,NLB072920_01,NLB072920_01_00,1/2,5,9/2,1,4,4,"1:gfed","melodic line","ann1",""
Daar_reed_een_jonkheer_1,NLB072920_01,NLB072920_01_01,31/2,20,9/2,24,27,4,"1:gfed","melodic line","ann1",""
Daar_reed_een_jonkheer_1,NLB072920_01,NLB072920_01_02,13/2,17/2,2,7,10,4,"2:aaaa","repeating notes, rhythmic","ann1",""
Daar_reed_een_jonkheer_1,NLB072946_01,NLB072946_01_00,2,5,3,2,5,4,"1:gfed","melodic line","ann1",""
Daar_reed_een_jonkheer_1,NLB072946_01,NLB072946_01_01,17,20,3,25,28,4,"1:gfed","melodic line","ann1","pr"
Daar_reed_een_jonkheer_1,NLB072946_01,NLB072946_01_02,13/2,17/2,2,8,10,3,"2:aaaa","repeating notes, rhythmic","ann1",""
Er_was_een_koopman_rijk_en_machtig,NLB072967_01,NLB072967_01_00,4,8,4,3,5,3,"1:ca","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB072967_01,NLB072967_01_01,64,69,5,47,50,4,"10:decb","melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB072967_01,NLB072967_01_02,70,72,2,52,53,2,"11:gg","rhytmic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB072967_01,NLB072967_01_03,72,80,8,54,58,5,"12:abcag2","rhytmic+melodic","ann2","length"
Er_was_een_koopman_rijk_en_machtig,NLB072967_01,NLB072967_01_04,8,12,4,6,9,4,"2:gbdd","rhytmic+melodic(triat)","ann2","length"
